day_of_week,nb_customers_on_day,open,promotion,school_holiday,state_holiday_0,state_holiday_a,state_holiday_b,year,month,day,sales
5,710,1,0,0,1,0,0,2014,1,31,7015.9663
2,421,1,0,0,1,0,0,2015,6,9,4390.09
6,380,1,0,0,1,0,0,2013,6,29,3681.1035
2,720,1,1,0,1,0,0,2013,1,8,7261.7393
1,612,1,0,1,1,0,0,2013,10,28,5242.0933
1,863,1,0,1,1,0,0,2013,10,14,6854.5947
4,642,1,0,0,1,0,0,2014,4,10,5508.8545
6,544,1,0,0,1,0,0,2014,12,6,5651.752
2,1046,1,0,1,1,0,0,2013,9,3,8040.351
5,652,1,1,0,1,0,0,2013,4,12,6388.9995
5,651,1,1,0,1,0,0,2014,7,4,6588.171
6,550,1,0,0,1,0,0,2013,1,5,5249.4956
6,538,1,0,0,1,0,0,2014,11,22,5331.7905
6,877,1,0,0,1,0,0,2013,1,5,7366.59
5,837,1,1,0,1,0,0,2015,3,20,7904.9526
4,508,1,1,0,1,0,0,2015,3,5,5712.8984
1,822,1,1,0,1,0,0,2014,3,31,9702.897
1,962,1,0,0,1,0,0,2014,12,8,8228.336
5,789,1,1,0,1,0,0,2014,2,21,7586.102
7,0,0,0,0,1,0,0,2014,12,21,32.733486
2,615,1,1,0,1,0,0,2014,2,18,6647.002
1,367,1,0,0,1,0,0,2013,6,10,3759.1428
3,598,1,0,0,1,0,0,2013,9,18,4928.347
6,518,1,0,0,1,0,0,2013,4,6,4891.83
2,714,1,1,0,1,0,0,2014,1,7,7826.8696
1,1013,1,1,0,1,0,0,2014,11,24,10270.004
4,710,1,0,0,1,0,0,2014,6,26,5904.0835
1,1290,1,1,0,1,0,0,2015,3,30,13412.813
4,711,1,0,1,1,0,0,2013,1,3,5851.0693
7,0,0,0,0,1,0,0,2013,8,18,-28.604586
5,860,1,0,0,1,0,0,2014,5,30,8478.871
2,850,1,1,0,1,0,0,2015,6,2,9093.686
1,497,1,0,0,1,0,0,2014,3,10,4647.852
7,0,0,0,0,1,0,0,2013,11,24,-5.1856265
6,515,1,0,0,1,0,0,2013,8,31,5095.83
6,951,1,0,1,1,0,0,2014,8,30,8466.268
1,1166,1,0,0,1,0,0,2014,9,22,8599.879
3,854,1,0,0,1,0,0,2015,5,27,7275.509
2,394,1,1,0,1,0,0,2013,5,14,4629.035
4,576,1,0,0,1,0,0,2015,7,9,5342.0005
2,744,1,0,0,1,0,0,2014,8,26,5922.602
7,0,0,0,0,1,0,0,2014,6,22,-3.0196261
6,977,1,0,0,1,0,0,2013,6,8,7427.0527
5,676,1,0,0,1,0,0,2013,12,13,6727.6904
2,689,1,1,0,1,0,0,2013,9,10,7233.586
3,681,1,1,1,1,0,0,2014,4,16,7290.8965
5,522,1,0,1,1,0,0,2015,5,29,5756.8555
2,1080,1,1,0,1,0,0,2013,7,30,11716.385
3,458,1,0,0,1,0,0,2013,10,16,4271.3945
6,510,1,0,0,1,0,0,2014,10,11,4952.2095
5,775,1,1,0,1,0,0,2013,12,6,7967.362
7,0,0,0,0,1,0,0,2013,8,11,-7.968629
2,1561,1,0,1,1,0,0,2014,12,23,14292.325
2,962,1,1,0,1,0,0,2014,11,11,8780.261
7,0,0,0,0,1,0,0,2014,12,7,-13.871989
4,963,1,1,0,1,0,0,2014,11,27,9474.023
2,1682,1,1,0,1,0,0,2014,2,18,13078.206
6,551,1,0,0,1,0,0,2013,5,4,5404.4507
1,378,1,1,0,1,0,0,2014,5,5,4624.9263
5,622,1,0,0,1,0,0,2014,1,17,5433.2876
1,681,1,1,0,1,0,0,2014,12,15,9110.993
4,710,1,1,0,1,0,0,2013,2,7,6906.436
5,833,1,1,0,1,0,0,2015,6,5,8604.196
6,301,1,0,0,1,0,0,2013,7,6,2714.22
6,908,1,0,0,1,0,0,2013,11,30,8682.125
1,763,1,1,0,1,0,0,2015,1,26,8213.804
3,836,1,1,1,1,0,0,2014,9,3,7938.084
1,1327,1,0,1,1,0,0,2013,12,30,11665.337
1,1170,1,1,0,1,0,0,2013,12,2,12483.981
2,767,1,1,1,1,0,0,2013,7,30,8012.2515
2,547,1,0,1,1,0,0,2014,10,28,4810.032
5,553,1,1,0,1,0,0,2014,9,19,5484.9097
6,491,1,0,0,1,0,0,2013,11,2,5070.513
5,599,1,0,0,1,0,0,2013,10,18,5194.0757
4,744,1,1,0,1,0,0,2014,11,27,7966.009
3,1515,1,1,1,1,0,0,2015,7,29,13127.083
4,461,1,0,1,1,0,0,2013,4,4,4444.7437
7,0,0,0,0,1,0,0,2013,5,26,3.3664186
7,0,0,0,0,1,0,0,2015,1,4,-30.374773
3,378,1,1,1,1,0,0,2014,9,3,4584.863
6,805,1,0,0,1,0,0,2013,10,5,7007.7544
2,491,1,0,0,1,0,0,2013,7,9,4710.838
1,472,1,0,0,1,0,0,2013,9,2,4424.171
1,1562,1,1,0,1,0,0,2014,6,2,14756.854
4,666,1,0,0,1,0,0,2015,1,22,5678.5645
1,404,1,0,0,1,0,0,2014,3,10,4016.9033
6,847,1,0,0,1,0,0,2014,11,22,7617.804
4,376,1,1,0,1,0,0,2013,2,21,4127.537
2,1682,1,1,0,1,0,0,2015,6,2,14895.646
7,0,0,0,0,1,0,0,2013,10,20,-7.029814
7,0,0,0,0,1,0,0,2014,2,9,16.310577
6,826,1,0,0,1,0,0,2015,4,4,8275.266
3,737,1,1,0,1,0,0,2013,3,6,7097.7354
7,0,0,0,0,1,0,0,2014,4,13,4.1109366
1,0,0,0,1,0,0,1,2014,4,21,-5.1562347
3,632,1,1,0,1,0,0,2014,5,21,6314.92
1,871,1,1,0,1,0,0,2015,6,29,10650.67
2,902,1,1,0,1,0,0,2014,7,1,8955.093
7,0,0,0,1,1,0,0,2014,8,3,36.948612
1,1193,1,0,1,1,0,0,2013,12,30,10975.397
4,585,1,0,1,1,0,0,2013,4,4,5244.571
5,791,1,0,1,1,0,0,2013,12,27,7083.453
3,1720,1,1,0,1,0,0,2014,3,5,13923.627
3,579,1,1,0,1,0,0,2015,1,14,6082.168
5,999,1,0,0,1,0,0,2015,6,26,8003.7583
4,790,1,1,0,1,0,0,2013,8,29,7562.87
2,1476,1,1,0,1,0,0,2013,3,19,12599.613
2,689,1,1,0,1,0,0,2013,11,5,7415.215
6,484,1,0,0,1,0,0,2013,3,23,4615.831
1,607,1,0,0,1,0,0,2013,1,14,5067.07
1,716,1,0,0,1,0,0,2014,10,27,5717.869
7,0,0,0,0,1,0,0,2015,3,15,25.823246
6,341,1,0,0,1,0,0,2015,7,11,3300.9712
5,2677,1,1,0,1,0,0,2014,11,28,19257.896
6,582,1,0,0,1,0,0,2013,11,9,5798.8687
3,2241,1,1,0,1,0,0,2015,1,28,15614.158
6,517,1,0,0,1,0,0,2015,1,17,5079.2627
3,1029,1,1,0,1,0,0,2014,3,5,9352.2
4,450,1,0,0,1,0,0,2013,9,5,4130.441
2,766,1,1,0,1,0,0,2015,1,27,7761.556
4,517,1,0,1,1,0,0,2013,7,25,4586.7603
1,929,1,0,0,1,0,0,2014,9,22,6981.1646
3,610,1,1,0,1,0,0,2014,3,19,6219.9365
2,490,1,0,1,1,0,0,2015,4,7,4984.272
3,453,1,0,1,1,0,0,2014,7,9,4249.7856
1,3171,1,0,0,1,0,0,2013,1,14,18948.826
6,1881,1,0,0,1,0,0,2014,5,31,12804.2
3,962,1,1,1,1,0,0,2014,7,16,8907.063
6,1251,1,0,0,1,0,0,2013,2,2,10117.623
1,627,1,0,0,1,0,0,2013,1,14,5108.6694
4,563,1,0,0,1,0,0,2013,6,27,5033.7314
3,763,1,0,1,1,0,0,2015,7,22,6395.2505
3,507,1,1,1,1,0,0,2013,5,29,5759.8604
6,862,1,0,0,1,0,0,2015,1,24,7637.6597
2,1563,1,1,0,1,0,0,2014,6,17,13119.163
4,455,1,1,0,1,0,0,2015,5,7,5299.1255
5,764,1,1,0,1,0,0,2013,3,22,7288.729
3,1906,1,1,1,1,0,0,2015,4,1,17167.488
3,757,1,1,0,1,0,0,2013,12,4,8386.811
2,675,1,0,0,1,0,0,2013,11,26,5997.189
1,429,1,1,0,1,0,0,2014,7,14,5249.0923
2,745,1,1,0,1,0,0,2013,8,27,7039.1255
3,659,1,0,1,1,0,0,2015,4,8,6023.1167
7,0,0,0,0,1,0,0,2014,11,23,-17.174936
5,1599,1,0,0,1,0,0,2014,2,28,11806.08
7,0,0,0,0,1,0,0,2015,4,12,-8.486731
3,806,1,1,0,1,0,0,2014,6,4,8161.59
7,0,0,0,0,1,0,0,2013,3,31,15.191742
6,614,1,0,0,1,0,0,2015,7,4,6113.802
5,453,1,0,0,1,0,0,2015,6,12,4611.4233
6,402,1,0,0,1,0,0,2015,6,20,3958.9238
1,960,1,0,1,1,0,0,2013,12,30,9280.439
4,856,1,1,0,1,0,0,2013,10,24,7335.283
6,589,1,0,0,1,0,0,2014,3,15,5705.7246
1,1096,1,1,0,1,0,0,2013,5,13,10563.304
7,0,0,0,0,1,0,0,2013,12,22,7.9687886
1,749,1,0,0,1,0,0,2013,3,11,5976.466
4,493,1,0,0,1,0,0,2014,6,26,4639.4146
1,0,0,0,1,0,0,1,2014,4,21,-5.1562347
5,925,1,0,0,1,0,0,2013,3,1,7810.677
2,948,1,1,0,1,0,0,2013,4,23,8098.841
1,988,1,0,0,1,0,0,2014,12,8,7967.4624
3,1087,1,1,0,1,0,0,2014,1,22,9326.357
1,1093,1,1,0,1,0,0,2013,3,4,10962.834
3,756,1,1,1,1,0,0,2014,8,20,7435.3765
7,0,0,0,0,1,0,0,2014,6,8,-13.436961
6,825,1,0,0,1,0,0,2015,7,18,7700.379
2,1205,1,1,0,1,0,0,2015,3,17,10447.0205
2,351,1,1,1,1,0,0,2013,5,28,4263.474
7,0,0,0,0,1,0,0,2013,2,10,24.548157
4,483,1,0,0,1,0,0,2013,10,17,4435.978
2,648,1,1,0,1,0,0,2013,11,19,6845.294
6,786,1,0,0,1,0,0,2015,4,11,7248.881
5,629,1,0,0,1,0,0,2013,6,28,5916.7905
1,1174,1,1,0,1,0,0,2015,2,16,11537.777
5,175,1,0,1,1,0,0,2013,10,18,1487.3815
4,1910,1,0,1,1,0,0,2014,1,2,12182.847
3,647,1,1,0,1,0,0,2014,10,8,6582.4536
1,698,1,1,1,1,0,0,2015,1,5,8150.5127
3,749,1,0,0,1,0,0,2014,3,12,5809.217
4,428,1,0,0,1,0,0,2014,1,16,3949.5503
2,384,1,0,1,1,0,0,2014,7,8,3780.9949
6,520,1,0,0,1,0,0,2014,2,15,5166.4785
5,578,1,0,0,1,0,0,2014,1,31,5914.4834
6,462,1,0,0,1,0,0,2014,6,21,4444.429
6,668,1,0,0,1,0,0,2015,4,4,6893.1836
5,804,1,0,1,1,0,0,2013,1,4,6541.714
2,431,1,0,1,1,0,0,2013,8,6,4314.2573
6,490,1,0,0,1,0,0,2015,5,9,5032.2793
4,1108,1,1,0,1,0,0,2015,2,19,9343.096
5,989,1,0,1,1,0,0,2013,4,5,7554.359
7,0,0,0,0,1,0,0,2015,2,1,21.565006
6,694,1,0,0,1,0,0,2013,8,10,6203.9126
4,948,1,1,0,1,0,0,2014,2,20,8068.5034
4,618,1,1,0,1,0,0,2015,6,4,6488.4575
6,266,1,0,0,1,0,0,2013,9,7,2428.1597
6,388,1,0,0,1,0,0,2013,9,7,3610.2395
3,567,1,0,1,1,0,0,2014,8,27,5098.492
6,380,1,0,0,1,0,0,2013,5,18,3528.5615
5,592,1,0,1,1,0,0,2013,4,5,5295.397
3,552,1,0,0,1,0,0,2013,9,18,4692.842
2,708,1,1,0,1,0,0,2015,2,3,7497.6724
3,535,1,0,1,1,0,0,2015,7,22,4892.152
2,661,1,1,1,1,0,0,2013,8,13,7114.3105
7,0,0,0,0,1,0,0,2015,1,11,-13.179958
1,0,0,0,0,0,1,0,2013,5,20,-36.1471
3,621,1,0,0,1,0,0,2013,11,13,5343.9697
1,754,1,0,0,1,0,0,2013,4,15,5619.2373
5,1211,1,1,0,1,0,0,2014,1,24,10049.704
3,837,1,1,1,1,0,0,2014,9,3,7938.084
5,677,1,1,0,1,0,0,2015,1,16,6820.079
4,416,1,1,0,1,0,0,2013,6,6,4488.9414
2,479,1,0,0,1,0,0,2015,2,10,4514.3867
4,589,1,0,0,1,0,0,2013,5,23,5037.0083
3,581,1,1,1,1,0,0,2013,2,20,5981.497
7,0,0,0,0,1,0,0,2013,6,30,14.228529
4,657,1,0,0,1,0,0,2013,7,11,5667.46
5,854,1,1,0,1,0,0,2013,4,26,7700.1963
7,0,0,0,0,1,0,0,2015,4,19,-15.351466
6,471,1,0,0,1,0,0,2013,11,30,4944.866
4,598,1,0,0,1,0,0,2014,2,13,5104.5586
4,319,1,0,0,1,0,0,2013,3,14,3185.9583
3,0,0,0,1,0,0,0,2013,12,25,-18.732994
6,465,1,0,0,1,0,0,2013,9,21,4334.981
1,839,1,0,0,1,0,0,2013,7,22,6939.271
1,738,1,1,0,1,0,0,2013,2,4,8204.337
7,0,0,0,0,1,0,0,2015,2,8,7.0459995
6,492,1,0,0,1,0,0,2013,1,19,4775.1426
5,987,1,1,0,1,0,0,2013,5,31,10185.091
4,335,1,1,0,1,0,0,2013,1,24,3639.3423
1,3508,1,1,1,1,0,0,2014,8,4,20912.654
4,716,1,1,0,1,0,0,2013,6,6,6797.4224
6,377,1,0,0,1,0,0,2013,5,4,3522.4282
3,1176,1,1,0,1,0,0,2013,3,20,9757.461
2,462,1,1,0,1,0,0,2014,5,20,5409.737
4,454,1,1,0,1,0,0,2015,1,8,5135.6016
3,372,1,0,0,1,0,0,2013,6,26,3698.1335
2,710,1,0,0,1,0,0,2013,12,10,6552.9375
5,0,0,1,1,0,0,1,2015,4,3,21.163473
3,373,1,0,0,1,0,0,2013,10,16,3720.7334
2,1201,1,1,0,1,0,0,2015,6,30,12823.828
1,650,1,1,1,1,0,0,2014,4,28,7571.7627
4,508,1,1,0,1,0,0,2013,2,7,5413.9014
2,879,1,1,0,1,0,0,2014,9,2,8558.361
5,769,1,1,1,1,0,0,2015,6,5,8278.466
2,435,1,1,0,1,0,0,2014,3,18,5065.052
2,930,1,1,1,1,0,0,2013,7,30,9956.136
7,0,0,0,0,1,0,0,2013,10,27,5.61914
6,501,1,0,0,1,0,0,2014,2,15,4817.5044
6,474,1,0,0,1,0,0,2014,1,11,4711.392
6,589,1,0,0,1,0,0,2014,3,29,5841.742
5,0,0,0,1,0,0,0,2014,12,26,21.832981
3,624,1,1,0,1,0,0,2013,7,17,6588.779
5,861,1,0,0,1,0,0,2014,1,31,8099.4937
5,546,1,0,0,1,0,0,2014,2,14,5160.089
7,0,0,0,0,1,0,0,2015,6,7,-16.82458
4,1068,1,1,0,1,0,0,2013,12,19,11682.206
1,500,1,0,0,1,0,0,2015,2,23,4668.514
3,444,1,0,0,1,0,0,2014,6,25,4325.1562
3,499,1,1,0,1,0,0,2014,10,8,5569.303
1,764,1,0,0,1,0,0,2013,9,16,6100.9614
5,661,1,1,0,1,0,0,2014,6,20,6626.056
6,1004,1,0,0,1,0,0,2013,6,22,7803.6123
1,482,1,1,0,1,0,0,2013,7,1,5810.378
7,0,0,0,0,1,0,0,2015,3,1,14.486419
2,505,1,0,0,1,0,0,2014,5,27,4750.659
4,0,0,1,0,0,1,0,2013,5,30,-92.03594
7,0,0,0,0,1,0,0,2013,2,3,0.52154076
3,1584,1,1,0,1,0,0,2013,8,14,12293.977
4,668,1,1,0,1,0,0,2015,1,29,6580.7974
2,507,1,1,0,1,0,0,2014,3,18,5663.94
2,1050,1,1,0,1,0,0,2014,9,2,9465.937
3,421,1,1,0,1,0,0,2014,3,5,4957.3667
5,600,1,0,0,1,0,0,2014,1,17,5253.631
6,426,1,0,0,1,0,0,2013,9,14,3962.9087
7,0,0,0,0,1,0,0,2014,3,9,-18.183449
2,333,1,0,0,1,0,0,2014,3,25,3372.7583
5,802,1,0,0,1,0,0,2015,5,29,7906.4326
1,590,1,1,0,1,0,0,2013,12,16,8108.577
4,501,1,1,0,1,0,0,2015,3,5,5645.7793
5,905,1,0,1,1,0,0,2015,7,24,7437.236
1,575,1,1,0,1,0,0,2015,2,2,6965.137
6,343,1,0,0,1,0,0,2015,2,7,3269.9482
6,304,1,0,0,1,0,0,2013,3,23,2829.3342
2,510,1,0,1,1,0,0,2015,4,7,5066.4995
5,1176,1,1,0,1,0,0,2014,6,20,10109.956
2,464,1,0,1,1,0,0,2013,9,3,4482.012
5,384,1,0,1,1,0,0,2014,8,29,4011.5042
4,685,1,1,1,1,0,0,2013,10,24,6369.2573
6,492,1,0,0,1,0,0,2014,4,19,4772.246
4,1410,1,0,1,1,0,0,2013,10,31,10192.444
2,662,1,1,0,1,0,0,2013,4,23,6545.5537
6,606,1,0,0,1,0,0,2013,10,12,5679.953
2,1099,1,1,0,1,0,0,2013,12,17,12235.62
2,861,1,0,0,1,0,0,2015,3,10,6978.1543
4,686,1,0,0,1,0,0,2014,3,27,5710.6333
1,885,1,1,0,1,0,0,2015,3,2,9639.385
1,1041,1,1,0,1,0,0,2013,9,23,9958.127
7,0,0,0,0,1,0,0,2014,10,26,-6.1191044
1,823,1,1,1,1,0,0,2013,8,12,9386.299
1,864,1,1,0,1,0,0,2015,5,4,9478.274
5,569,1,1,0,1,0,0,2014,3,7,6008.5903
4,905,1,0,0,1,0,0,2014,1,30,6855.353
7,0,0,0,0,1,0,0,2013,8,11,-7.968629
3,573,1,1,0,1,0,0,2015,6,17,6335.003
5,1024,1,1,0,1,0,0,2014,6,20,9105.746
5,493,1,1,1,1,0,0,2014,2,21,5388.254
3,605,1,1,0,1,0,0,2014,2,5,6644.2817
7,0,0,0,0,1,0,0,2015,6,7,-16.82458
2,853,1,1,0,1,0,0,2013,4,9,8022.1055
2,507,1,1,0,1,0,0,2014,4,29,5858.1904
3,431,1,0,0,1,0,0,2013,1,16,4027.7148
1,610,1,0,0,1,0,0,2013,5,6,5395.1294
4,777,1,1,0,1,0,0,2013,11,7,7518.981
7,0,0,0,0,1,0,0,2013,6,30,14.228529
7,0,0,0,0,1,0,0,2013,11,17,15.762744
4,793,1,0,1,1,0,0,2014,8,14,6254.1665
4,516,1,1,0,1,0,0,2014,2,6,5572.3877
7,0,0,0,0,1,0,0,2015,5,24,-22.998085
6,1831,1,0,0,1,0,0,2013,3,30,15103.367
3,1819,1,1,0,1,0,0,2014,12,3,13909.317
4,966,1,0,0,1,0,0,2015,1,22,7025.2817
3,642,1,1,0,1,0,0,2013,8,28,6391.5977
2,493,1,0,0,1,0,0,2013,7,9,4710.838
6,1201,1,0,0,1,0,0,2015,1,10,10016.364
5,822,1,1,0,1,0,0,2013,5,3,7924.176
3,539,1,0,0,1,0,0,2013,11,13,4865.0513
5,1014,1,1,1,1,0,0,2014,2,7,8895.976
2,578,1,1,0,1,0,0,2015,7,28,7193.6577
5,433,1,0,0,1,0,0,2014,2,28,4589.1763
1,958,1,0,1,1,0,0,2014,7,7,7717.685
6,801,1,0,0,1,0,0,2014,5,3,7408.8276
1,0,0,0,0,0,1,0,2014,6,9,14.393038
4,868,1,1,0,1,0,0,2013,8,29,7923.369
3,847,1,1,0,1,0,0,2014,1,22,7832.292
3,429,1,1,0,1,0,0,2013,8,28,4496.17
5,627,1,1,0,1,0,0,2013,9,27,6388.481
1,647,1,1,0,1,0,0,2015,3,16,7508.92
5,692,1,0,0,1,0,0,2013,6,14,6181.2827
2,539,1,0,1,1,0,0,2015,5,26,5312.904
3,0,0,1,1,1,0,0,2013,8,28,-37.347248
2,824,1,1,0,1,0,0,2013,4,30,8895.382
3,786,1,1,0,1,0,0,2013,2,6,7468.1055
2,587,1,1,1,1,0,0,2013,10,22,6130.9326
4,489,1,1,0,1,0,0,2015,6,18,5477.8574
1,838,1,1,1,1,0,0,2015,3,30,10291.43
2,703,1,1,0,1,0,0,2015,7,14,7711.5737
7,0,0,0,0,1,0,0,2013,5,12,10.483602
7,0,0,0,0,1,0,0,2015,2,22,1.4668319
1,577,1,1,0,1,0,0,2013,6,3,6804.723
2,619,1,0,0,1,0,0,2014,2,25,5092.713
1,1586,1,1,0,1,0,0,2013,2,18,14405.872
6,621,1,0,0,1,0,0,2014,10,4,6140.116
4,1381,1,1,1,1,0,0,2013,8,29,10915.45
4,445,1,0,1,1,0,0,2013,9,5,4413.0186
1,1011,1,1,0,1,0,0,2014,10,6,10194.175
7,0,0,0,0,1,0,0,2015,5,24,-22.998085
1,523,1,1,0,1,0,0,2013,2,18,6024.0835
6,569,1,0,0,1,0,0,2014,12,6,5814.698
6,614,1,0,0,1,0,0,2013,12,14,6434.7573
2,918,1,1,1,1,0,0,2014,1,7,9164.886
4,635,1,0,1,1,0,0,2015,5,28,6223.5444
6,820,1,0,0,1,0,0,2014,1,25,7071.6885
5,545,1,0,0,1,0,0,2014,1,17,5011.8164
7,0,0,0,0,1,0,0,2014,10,26,-6.1191044
4,0,0,1,1,0,1,0,2013,8,15,-42.089302
3,898,1,1,1,1,0,0,2013,7,31,9224.744
2,738,1,1,0,1,0,0,2013,11,19,7492.1816
3,962,1,1,1,1,0,0,2015,7,29,9178.843
3,689,1,1,1,1,0,0,2013,3,27,7199.892
7,0,0,0,0,1,0,0,2013,6,9,-15.943349
3,337,1,1,0,1,0,0,2014,10,1,4054.9773
7,0,0,0,0,1,0,0,2015,3,29,-5.0409026
6,290,1,0,0,1,0,0,2014,11,8,2645.5364
6,289,1,0,0,1,0,0,2015,1,10,2682.3428
4,861,1,1,0,1,0,0,2013,10,10,7888.8823
4,532,1,0,1,1,0,0,2013,4,4,4844.396
